numero_barra,grupo_ejecucion,barra_origen_longitud,cortes_realizados,piezas_obtenidas,desperdicio_resultante
#4,1,12.0,"[np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2)]","[{'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}]",0.0
#4,1,12.0,"[np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2)]","[{'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}]",0.0
#4,1,12.0,"[np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2)]","[{'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}]",0.0
#4,1,12.0,"[np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.0), np.float64(1.0)]","[{'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}]",0.4
#4,1,12.0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]","[{'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}]",0.0
#4,1,12.0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]","[{'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}]",0.0
#4,1,12.0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]","[{'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}]",0.0
#4,1,12.0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]","[{'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}, {'id_pedido': np.float64(13.0), 'longitud': np.float64(1.0)}]",2.0
#3,1,12.0,"[np.float64(1.08), np.float64(1.08), np.float64(1.08), np.float64(1.08), np.float64(1.08), np.float64(1.08), np.float64(1.08), np.float64(1.08), np.float64(1.08), np.float64(1.08), np.float64(1.08)]","[{'id_pedido': np.float64(16.0), 'longitud': np.float64(1.08)}, {'id_pedido': np.float64(16.0), 'longitud': np.float64(1.08)}, {'id_pedido': np.float64(16.0), 'longitud': np.float64(1.08)}, {'id_pedido': np.float64(16.0), 'longitud': np.float64(1.08)}, {'id_pedido': np.float64(16.0), 'longitud': np.float64(1.08)}, {'id_pedido': np.float64(16.0), 'longitud': np.float64(1.08)}, {'id_pedido': np.float64(16.0), 'longitud': np.float64(1.08)}, {'id_pedido': np.float64(16.0), 'longitud': np.float64(1.08)}, {'id_pedido': np.float64(16.0), 'longitud': np.float64(1.08)}, {'id_pedido': np.float64(16.0), 'longitud': np.float64(1.08)}, {'id_pedido': np.float64(16.0), 'longitud': np.float64(1.08)}]",0.12
#3,1,12.0,"[np.float64(1.08), np.float64(1.08), np.float64(1.08), np.float64(1.08), np.float64(1.08), np.float64(1.08), np.float64(1.08), np.float64(1.08), np.float64(1.08), np.float64(1.08), np.float64(1.08)]","[{'id_pedido': np.float64(16.0), 'longitud': np.float64(1.08)}, {'id_pedido': np.float64(16.0), 'longitud': np.float64(1.08)}, {'id_pedido': np.float64(16.0), 'longitud': np.float64(1.08)}, {'id_pedido': np.float64(16.0), 'longitud': np.float64(1.08)}, {'id_pedido': np.float64(16.0), 'longitud': np.float64(1.08)}, {'id_pedido': np.float64(16.0), 'longitud': np.float64(1.08)}, {'id_pedido': np.float64(16.0), 'longitud': np.float64(1.08)}, {'id_pedido': np.float64(16.0), 'longitud': np.float64(1.08)}, {'id_pedido': np.float64(16.0), 'longitud': np.float64(1.08)}, {'id_pedido': np.float64(16.0), 'longitud': np.float64(1.08)}, {'id_pedido': np.float64(16.0), 'longitud': np.float64(1.08)}]",0.12
